"filename", "language", "Java", "XML", "comment", "blank", "total"
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\drawable\rounded.xml", "XML", 0, -9, 0, -4, -13
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_add.xml", "XML", 0, -88, 0, -12, -100
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_chat.xml", "XML", 0, -172, 0, -29, -201
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_chat_main.xml", "XML", 0, -48, 0, -17, -65
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_home.xml", "XML", 0, -106, 0, -25, -131
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_login.xml", "XML", 0, -60, 0, -10, -70
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_main.xml", "XML", 0, -72, 0, -15, -87
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_message.xml", "XML", 0, -63, 0, -12, -75
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_register.xml", "XML", 0, -58, 0, -13, -71
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_start.xml", "XML", 0, -53, 0, -21, -74
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\activity_user_management.xml", "XML", 0, -30, 0, -8, -38
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\bar_layout.xml", "XML", 0, -7, 0, -1, -8
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\chat_item_left.xml", "XML", 0, -28, 0, -5, -33
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\chat_item_right.xml", "XML", 0, -36, 0, -5, -41
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\contact_item.xml", "XML", 0, -68, 0, -15, -83
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\fragment_chats.xml", "XML", 0, -11, 0, -1, -12
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\fragment_users.xml", "XML", 0, -18, 0, -3, -21
"c:\Users\kyle\Desktop\ChatBot\app\src\main\res\layout\item_chat_my.xml", "XML", 0, -47, 0, -4, -51
